source,target,type,weight
74,4,spatial,0.0
74,5,spatial,0.0
74,6,spatial,0.0
74,7,spatial,0.0
75,0,spatial,0.0
75,1,spatial,0.0
75,2,spatial,0.0
75,3,spatial,0.0
75,4,spatial,0.0
75,5,spatial,0.0
75,6,spatial,0.0
75,7,spatial,0.0
76,0,spatial,0.0
76,1,spatial,0.0
76,2,spatial,0.0
76,3,spatial,0.0
76,4,spatial,0.0
76,5,spatial,0.0
76,6,spatial,0.0
76,7,spatial,0.0
77,0,spatial,0.0
77,1,spatial,0.0
77,2,spatial,0.0
77,3,spatial,0.0
77,4,spatial,0.0
77,5,spatial,0.0
77,6,spatial,0.0
77,7,spatial,0.0
78,0,spatial,0.0
78,1,spatial,0.0
78,2,spatial,0.0
78,3,spatial,0.0
78,4,spatial,0.0
78,5,spatial,0.0
78,6,spatial,0.0
78,7,spatial,0.0
79,0,spatial,0.0
79,1,spatial,0.0
79,2,spatial,0.0
79,3,spatial,0.0
79,4,spatial,0.0
79,5,spatial,0.0
79,6,spatial,0.0
79,7,spatial,0.0
80,0,spatial,0.0
80,1,spatial,0.0
80,2,spatial,0.0
80,3,spatial,0.0
80,4,spatial,0.0
80,5,spatial,0.0
80,6,spatial,0.0
80,7,spatial,0.0
81,0,spatial,0.0
81,1,spatial,0.0
81,2,spatial,0.0
81,3,spatial,0.0
81,4,spatial,0.0
81,5,spatial,0.0
81,6,spatial,0.0
81,7,spatial,0.0
82,0,spatial,0.0
82,1,spatial,0.0
82,2,spatial,0.0
82,3,spatial,0.0
82,4,spatial,0.0
82,5,spatial,0.0
82,6,spatial,0.0
82,7,spatial,0.0
83,0,spatial,0.0
83,1,spatial,0.0
83,2,spatial,0.0
83,3,spatial,0.0
83,4,spatial,0.0
83,5,spatial,0.0
83,6,spatial,0.0
83,7,spatial,0.0
84,0,spatial,0.0
84,1,spatial,0.0
84,2,spatial,0.0
84,3,spatial,0.0
84,4,spatial,0.0
84,5,spatial,0.0
84,6,spatial,0.0
84,7,spatial,0.0
85,0,spatial,0.0
85,1,spatial,0.0
85,2,spatial,0.0
85,3,spatial,0.0
85,4,spatial,0.0
85,5,spatial,0.0
85,6,spatial,0.0
85,7,spatial,0.0
86,0,spatial,0.0
86,1,spatial,0.0
86,2,spatial,0.0
86,3,spatial,0.0
86,4,spatial,0.0
86,5,spatial,0.0
86,6,spatial,0.0
86,7,spatial,0.0
87,0,spatial,0.0
87,1,spatial,0.0
87,2,spatial,0.0
87,3,spatial,0.0
87,4,spatial,0.0
87,5,spatial,0.0
87,6,spatial,0.0
87,7,spatial,0.0
88,0,spatial,0.0
88,1,spatial,0.0
88,2,spatial,0.0
88,3,spatial,0.0
88,4,spatial,0.0
88,5,spatial,0.0
88,6,spatial,0.0
88,7,spatial,0.0
89,0,spatial,0.0
89,1,spatial,0.0
89,2,spatial,0.0
89,3,spatial,0.0
89,4,spatial,0.0
89,5,spatial,0.0
89,6,spatial,0.0
89,7,spatial,0.0
90,0,spatial,0.0
90,1,spatial,0.0
90,2,spatial,0.0
90,3,spatial,0.0
90,4,spatial,0.0
90,5,spatial,0.0
90,6,spatial,0.0
90,7,spatial,0.0
91,0,spatial,0.0
91,1,spatial,0.0
91,2,spatial,0.0
91,3,spatial,0.0
91,4,spatial,0.0
91,5,spatial,0.0
91,6,spatial,0.0
91,7,spatial,0.0
92,0,spatial,0.0
92,1,spatial,0.0
92,2,spatial,0.0
92,3,spatial,0.0
92,4,spatial,0.0
92,5,spatial,0.0
92,6,spatial,0.0
92,7,spatial,0.0
93,0,spatial,0.0
93,1,spatial,0.0
93,2,spatial,0.0
93,3,spatial,0.0
93,4,spatial,0.0
93,5,spatial,0.0
93,6,spatial,0.0
93,7,spatial,0.0
94,0,spatial,0.0
94,1,spatial,0.0
94,2,spatial,0.0
94,3,spatial,0.0
94,4,spatial,0.0
94,5,spatial,0.0
94,6,spatial,0.0
94,7,spatial,0.0
95,0,spatial,0.0
95,1,spatial,0.0
95,2,spatial,0.0
95,3,spatial,0.0
95,4,spatial,0.0
95,5,spatial,0.0
95,6,spatial,0.0
95,7,spatial,0.0
96,0,spatial,0.0
96,1,spatial,0.0
96,2,spatial,0.0
96,3,spatial,0.0
96,4,spatial,0.0
96,5,spatial,0.0
96,6,spatial,0.0
96,7,spatial,0.0
97,0,spatial,0.0
97,1,spatial,0.0
97,2,spatial,0.0
97,3,spatial,0.0
97,4,spatial,0.0
97,5,spatial,0.0
97,6,spatial,0.0
97,7,spatial,0.0
98,0,spatial,0.0
98,1,spatial,0.0
98,2,spatial,0.0
98,3,spatial,0.0
98,4,spatial,0.0
98,5,spatial,0.0
98,6,spatial,0.0
98,7,spatial,0.0
99,0,spatial,0.0
99,1,spatial,0.0
99,2,spatial,0.0
99,3,spatial,0.0
99,4,spatial,0.0
99,5,spatial,0.0
99,6,spatial,0.0
99,7,spatial,0.0
100,0,spatial,0.0
100,1,spatial,0.0
100,2,spatial,0.0
100,3,spatial,0.0
100,4,spatial,0.0
100,5,spatial,0.0
100,6,spatial,0.0
100,7,spatial,0.0
101,0,spatial,0.0
101,1,spatial,0.0
101,2,spatial,0.0
101,3,spatial,0.0
101,4,spatial,0.0
101,5,spatial,0.0
101,6,spatial,0.0
101,7,spatial,0.0
102,0,spatial,0.0
102,1,spatial,0.0
102,2,spatial,0.0
102,3,spatial,0.0
102,4,spatial,0.0
102,5,spatial,0.0
102,6,spatial,0.0
102,7,spatial,0.0
103,0,spatial,0.0
103,1,spatial,0.0
103,2,spatial,0.0
103,3,spatial,0.0
103,4,spatial,0.0
103,5,spatial,0.0
103,6,spatial,0.0
103,7,spatial,0.0
104,0,spatial,0.0
104,1,spatial,0.0
104,2,spatial,0.0
104,3,spatial,0.0
104,4,spatial,0.0
104,5,spatial,0.0
104,6,spatial,0.0
104,7,spatial,0.0
105,0,spatial,0.0
105,1,spatial,0.0
105,2,spatial,0.0
105,3,spatial,0.0
105,4,spatial,0.0
105,5,spatial,0.0
105,6,spatial,0.0
105,7,spatial,0.0
106,0,spatial,0.0
106,1,spatial,0.0
106,2,spatial,0.0
106,3,spatial,0.0
106,4,spatial,0.0
106,5,spatial,0.0
106,6,spatial,0.0
106,7,spatial,0.0
